second_of_minute,minute_of_hour,hour_of_day,weekday,units_consumed,phase,lagged_current5,lagged_voltage5,lagged_angle5,lagged_current10,lagged_voltage10,lagged_angle10,lagged_current20,lagged_voltage20,lagged_angle20,lagged_current40,lagged_voltage40,lagged_angle40,lagged_current60,lagged_voltage60,lagged_angle60,unit_consumed_within_next_30_minutes
12,46,11,5,2.113969916036497e-8,89.96356,0,0,0,...0
12,46,11,5,2.122172816461732e-8,89.97059,0,0,0,...0
12,46,11,5,2.1255237557685477e-8,89.9831,0,0,0,...0
12,46,11,5,2.1263695544434827e-8,89.99135,0,0,0,...0
12,46,11,5,2.127950145855071e-8,89.98677,0,0,0,...0
12,46,11,5,2.1400563815616724e-8,89.96356,0,0,0,...0
13,46,11,5,2.1765258514867352e-8,89.97059,0,0,0,...0
13,46,11,5,2.1799208821002194e-8,89.9831,0,0,0,...0
13,46,11,5,2.1812193920152248e-8,89.99135,0,0,0,...0
13,46,11,5,2.1828207806822287e-8,89.98677,0,0,0,...0
13,46,11,5,2.195086308963917e-8,89.96356,0,0,0,...0
14,46,11,5,2.2320126895919448e-8,89.97059,0,0,0,...0
14,46,11,5,2.2354518115120978e-8,89.9831,0,0,0,...0
14,46,11,5,2.237504706839839e-8,89.9865,0,0,0,...0
14,46,11,5,2.2391268927622585e-8,89.98677,0,0,0,...0
14,46,11,5,2.2515517136190334e-8,89.96356,0,0,0,...0
14,46,11,5,2.2599704798449323e-8,89.97059,0,0,0,...0
14,46,11,5,2.263409601765086e-8,89.9831,0,0,0,...0
14,46,11,5,2.2654624970928264e-8,89.9865,0,0,0,...0
14,46,11,5,2.2671283788648487e-8,89.98677,0,0,0,...0
14,46,11,5,2.2795531997216234e-8,89.96356,0,0,0,...0
15,46,11,5,2.3173049398699266e-8,89.97059,0,0,0,...0
15,46,11,5,2.3207881530967484e-8,89.9831,0,0,0,...0
15,46,11,5,2.3228673675953578e-8,89.9865,0,0,0,...0
15,46,11,5,2.3252640142297863e-8,89.98677,0,0,0,...0
15,46,11,5,2.337848127661648e-8,89.96356,0,0,0,...0
15,46,11,5,2.3463748267878792e-8,89.97059,0,0,0,...0
15,46,11,5,2.349858040014701e-8,89.9831,0,0,0,...0
15,46,11,5,2.3519372545133103e-8,89.9865,0,0,0,...0
15,46,11,5,2.3552523439353905e-8,89.9817,0,0,0,...0
15,46,11,5,2.3678364573672524e-8,89.96356,0,0,0,...0
15,46,11,5,2.3763631564934833e-8,89.97059,0,0,0,...0
15,46,11,5,2.3798463697203054e-8,89.9831,0,0,0,...0
15,46,11,5,2.3819255842189148e-8,89.9865,0,0,0,...0
15,46,11,5,2.3852406736409956e-8,89.9817,0,0,0,...0
15,46,11,5,2.3977292535119226e-8,89.96356,0,0,0,...0
15,46,11,5,2.406255952638154e-8,89.97059,0,0,0,...0
15,46,11,5,2.4097391658649762e-8,89.9831,0,0,0,...0
15,46,11,5,2.4118183803635856e-8,89.9865,0,0,0,...0
15,46,11,5,2.415133469785666e-8,89.9817,0,0,0,...0
15,46,11,5,2.4193655755339643e-8,89.96356,0,0,0,...0
15,46,11,5,2.4278922746601955e-8,89.97059,0,0,0,...0
15,46,11,5,2.4313754878870176e-8,89.9831,0,0,0,...0
15,46,11,5,2.433454702385627e-8,89.9865,0,0,0,...0
15,46,11,5,2.4367697918077078e-8,89.9817,0,0,0,...0
15,46,11,5,2.4382145612545904e-8,89.98756,0,0,0,...0
26,46,11,5,2.787305782498427e-8,89.97059,0,0,0,...0
26,46,11,5,2.7912740000986042e-8,89.9831,0,0,0,...0
26,46,11,5,2.7936427254767665e-8,89.9865,0,0,0,...0
26,46,11,5,2.797419409628504e-8,89.9817,0,0,0,...0
26,46,11,5,2.7990653495047004e-8,89.98756,0,0,0,...0
26,46,11,5,2.8104452147685935e-8,89.97059,0,0,0,...0
26,46,11,5,2.814413432368771e-8,89.9831,0,0,0,...0
26,46,11,5,2.8167821577469334e-8,89.9865,0,0,0,...0
26,46,11,5,2.820558841898671e-8,89.9817,0,0,0,...0
26,46,11,5,2.8222047817748664e-8,89.98756,0,0,0,...0
26,46,11,5,2.835871454107891e-8,89.96468,0,0,0,...0
26,46,11,5,2.8398396717080677e-8,89.9831,0,0,0,...0
26,46,11,5,2.8422083970862306e-8,89.9865,0,0,0,...0
26,46,11,5,2.8459850812379678e-8,89.9817,0,0,0,...0
26,46,11,5,2.847631021114164e-8,89.98756,0,0,0,...0
27,46,11,5,2.8930898900410456e-8,89.96468,0,0,0,...0
27,46,11,5,2.8966539023141307e-8,89.9831,0,0,0,...0
27,46,11,5,2.8990489468631616e-8,89.9865,0,0,0,...0
27,46,11,5,2.9028675941721408e-8,89.9817,0,0,0,...0
27,46,11,5,2.904531822269183e-8,89.98756,0,0,0,...0
27,46,11,5,2.9183503465170185e-8,89.96468,0,0,0,...0
27,46,11,5,2.9241034987535826e-8,89.9831,0,0,0,...0
27,46,11,5,2.9264985433026135e-8,89.9865,0,0,0,...0
27,46,11,5,2.9303171906115927e-8,89.9817,0,0,0,...0
27,46,11,5,2.9319814187086355e-8,89.98756,0,0,0,...0
27,46,11,5,2.9457999429564707e-8,89.96468,0,0,0,...0
27,46,11,5,2.956254339363991e-8,89.96929,0,0,0,...0
27,46,11,5,2.958649383913022e-8,89.9865,0,0,0,...0
27,46,11,5,2.9624680312220007e-8,89.9817,0,0,0,...0
27,46,11,5,2.9641322593190435e-8,89.98756,0,0,0,...0
29,46,11,5,3.04340025133758e-8,89.96468,0,0,0,...0
29,46,11,5,3.054084414699111e-8,89.96929,0,0,0,...0
29,46,11,5,3.05653209758988e-8,89.9865,0,0,0,...0
29,46,11,5,3.060544118629066e-8,89.9817,0,0,0,...0
29,46,11,5,3.062244923167802e-8,89.98756,0,0,0,...0
29,46,11,5,3.0763671512452605e-8,89.96468,0,0,0,...0
29,46,11,5,3.087051314606792e-8,89.96929,0,0,0,...0
29,46,11,5,3.08949899749756e-8,89.9865,0,0,0,...0
29,46,11,5,3.096238104837688e-8,89.9817,0,0,0,...0
29,46,11,5,3.0979389093764235e-8,89.98756,0,0,0,...0
29,46,11,5,3.112061137453883e-8,89.96468,0,0,0,...0
29,46,11,5,3.1227453008154136e-8,89.96929,0,0,0,...0
29,46,11,5,3.1251929837061816e-8,89.9865,0,0,0,...0
29,46,11,5,3.136207557193363e-8,89.97009,0,0,0,...0
29,46,11,5,3.137908361732099e-8,89.98756,0,0,0,...0
29,46,11,5,3.152030589809557e-8,89.96468,0,0,0,...0
29,46,11,5,3.162714753171089e-8,89.96929,0,0,0,...0
29,46,11,5,3.165162436061857e-8,89.9865,0,0,0,...0
29,46,11,5,3.1761770095490375e-8,89.97009,0,0,0,...0
29,46,11,5,3.1778777068969454e-8,89.98756,0,0,0,...0
29,46,11,5,3.1919999349744034e-8,89.96468,0,0,0,...0
29,46,11,5,3.2026840983359355e-8,89.96929,0,0,0,...0
29,46,11,5,3.2051317812267035e-8,89.9865,0,0,0,...0
29,46,11,5,3.216146354713884e-8,89.97009,0,0,0,...0
29,46,11,5,3.2185798643509495e-8,89.98756,0,0,0,...0
29,46,11,5,3.2327020924284075e-8,89.96468,0,0,0,...0
29,46,11,5,3.2433862557899396e-8,89.96929,0,0,0,...0
29,46,11,5,3.2458339386807076e-8,89.9865,0,0,0,...0
29,46,11,5,3.256848512167888e-8,89.97009,0,0,0,...0
29,46,11,5,3.2603324998108706e-8,89.98219,0,0,0,...0
40,46,11,5,3.6615583691751854e-8,89.96468,0,0,0,...0
40,46,11,5,3.673506250783781e-8,89.96929,0,0,0,...0
40,46,11,5,3.676243444554102e-8,89.9865,0,0,0,...0
40,46,11,5,3.688560817055895e-8,89.97009,0,0,0,...0
40,46,11,5,3.6924568892588e-8,89.98219,0,0,0,...0
40,46,11,5,3.699807615167288e-8,89.96468,0,0,0,...0
40,46,11,5,3.7117554967758825e-8,89.96929,0,0,0,...0
40,46,11,5,3.7144926905462037e-8,89.9865,0,0,0,...0
40,46,11,5,3.726810063047997e-8,89.97009,0,0,0,...0
40,46,11,5,3.730706135250903e-8,89.98219,0,0,0,...0
41,46,11,5,3.7701209175188574e-8,89.98314,0,0,0,...0
41,46,11,5,3.7821836826044576e-8,89.96929,0,0,0,...0
41,46,11,5,3.784947195545647e-8,89.9865,0,0,0,...0
41,46,11,5,3.7973830043214964e-8,89.97009,0,0,0,...0
41,46,11,5,3.8013165387571215e-8,89.98219,0,0,0,...0
41,46,11,5,3.804859146647664e-8,89.98314,0,0,0,...0
41,46,11,5,3.817087441672506e-8,89.96929,0,0,0,...0
41,46,11,5,3.8198509546136956e-8,89.9865,0,0,0,...0
41,46,11,5,3.832286763389545e-8,89.97009,0,0,0,...0
41,46,11,5,3.8362202978251706e-8,89.98219,0,0,0,...0
41,46,11,5,3.839762905715712e-8,89.98314,0,0,0,...0
41,46,11,5,3.852748829902887e-8,89.96929,0,0,0,...0
41,46,11,5,3.855512342844077e-8,89.9865,0,0,0,...0
41,46,11,5,3.8679481516199265e-8,89.97009,0,0,0,...0
41,46,11,5,3.8718816860555516e-8,89.98219,0,0,0,...0
41,46,11,5,3.875424293946094e-8,89.98314,0,0,0,...0
41,46,11,5,3.889027588610837e-8,89.96783,0,0,0,...0
41,46,11,5,3.8917911015520264e-8,89.9865,0,0,0,...0
41,46,11,5,3.9042269103278757e-8,89.97009,0,0,0,...0
41,46,11,5,3.908160444763501e-8,89.98219,0,0,0,...0
41,46,11,5,3.9117030526540424e-8,89.98314,0,0,0,...0
41,46,11,5,3.925306347318786e-8,89.96783,0,0,0,...0
41,46,11,5,3.9278640270314447e-8,89.9865,0,0,0,...0
41,46,11,5,3.940299835807294e-8,89.97009,0,0,0,...0
41,46,11,5,3.944233370242919e-8,89.98219,0,0,0,...0
41,46,11,5,3.9477759781334614e-8,89.98314,0,0,0,...0
41,46,11,5,3.9613792727982036e-8,89.96783,0,0,0,...0
41,46,11,5,3.966095651706701e-8,89.9865,0,0,0,...0
41,46,11,5,3.97853146048255e-8,89.97009,0,0,0,...0
41,46,11,5,3.982464994918175e-8,89.98219,0,0,0,...0
41,46,11,5,3.9860076028087174e-8,89.98314,0,0,0,...0
41,46,11,5,3.9996108974734597e-8,89.96783,0,0,0,...0
41,46,11,5,4.009005225278439e-8,89.97311,0,0,0,...0
41,46,11,5,4.0214410340542883e-8,89.97009,0,0,0,...0
41,46,11,5,4.0253745684899134e-8,89.98219,0,0,0,...0
42,46,11,5,4.0672878161555074e-8,89.98314,0,0,0,...0
42,46,11,5,4.081020666007534e-8,89.96783,0,0,0,...0
42,46,11,5,4.0905044636011314e-8,89.97311,0,0,0,...0
42,46,11,5,4.102546166652026e-8,89.97009,0,0,0,...0
42,46,11,5,4.106517163320371e-8,89.98219,0,0,0,...0
42,46,11,5,4.11009351033368e-8,89.98314,0,0,0,...0
42,46,11,5,4.1238263601857067e-8,89.96783,0,0,0,...0
42,46,11,5,4.133310157779304e-8,89.97311,0,0,0,...0
42,46,11,5,4.1390588364879735e-8,89.97009,0,0,0,...0
42,46,11,5,4.143029833156319e-8,89.98219,0,0,0,...0
42,46,11,5,4.1466061801696275e-8,89.98314,0,0,0,...0
42,46,11,5,4.160339030021654e-8,89.96783,0,0,0,...0
42,46,11,5,4.1698228276152514e-8,89.97311,0,0,0,...0
42,46,11,5,4.1726827521257374e-8,89.98512,0,0,0,...0
42,46,11,5,4.176653748794083e-8,89.98219,0,0,0,...0
42,46,11,5,4.180230095807391e-8,89.98314,0,0,0,...0
42,46,11,5,4.1939629456594183e-8,89.96783,0,0,0,...0
42,46,11,5,4.203446743253015e-8,89.97311,0,0,0,...0
42,46,11,5,4.206306667763501e-8,89.98512,0,0,0,...0
42,46,11,5,4.210535619917609e-8,89.98219,0,0,0,...0
42,46,11,5,4.2141119669309184e-8,89.98314,0,0,0,...0
42,46,11,5,4.227844816782945e-8,89.96783,0,0,0,...0
42,46,11,5,4.237328614376542e-8,89.97311,0,0,0,...0
42,46,11,5,4.240188538887028e-8,89.98512,0,0,0,...0
42,46,11,5,4.2467750696497994e-8,89.98219,0,0,0,...0
42,46,11,5,4.250351416663108e-8,89.98314,0,0,0,...0
42,46,11,5,4.264084266515135e-8,89.96783,0,0,0,...0
42,46,11,5,4.273568064108732e-8,89.97311,0,0,0,...0
42,46,11,5,4.276427988619218e-8,89.98512,0,0,0,...0
42,46,11,5,4.286058154701201e-8,89.97396,0,0,0,...0
54,46,11,5,4.775559409052961e-8,89.98314,0,0,0,...0
54,46,11,5,4.7908469211523855e-8,89.96783,0,0,0,...0
54,46,11,5,4.80140435620941e-8,89.97311,0,0,0,...0
54,46,11,5,4.804588045758818e-8,89.98512,0,0,0,...0
54,46,11,5,4.8153084193217805e-8,89.97396,0,0,0,...0
55,46,11,5,4.8596373834245897e-8,89.98314,0,0,0,...0
55,46,11,5,4.875054450711298e-8,89.96783,0,0,0,...0
55,46,11,5,4.885701355556941e-8,89.97311,0,0,0,...0
55,46,11,5,4.88891202552626e-8,89.98512,0,0,0,...0
55,46,11,5,4.899723249712637e-8,89.97396,0,0,0,...0
55,46,11,5,4.902388217077207e-8,89.98724,0,0,0,...0
55,46,11,5,4.917805284363915e-8,89.96783,0,0,0,...0
55,46,11,5,4.928452189209559e-8,89.97311,0,0,0,...0
55,46,11,5,4.931662859178877e-8,89.98512,0,0,0,...0
55,46,11,5,4.9424740833652544e-8,89.97396,0,0,0,...0
56,46,11,5,4.986694841072092e-8,89.98724,0,0,0,...0
56,46,11,5,5.001744722717927e-8,89.96783,0,0,0,...0
56,46,11,5,5.012481097352189e-8,89.97311,0,0,0,...0
56,46,11,5,5.015718747741417e-8,89.98512,0,0,0,...0
56,46,11,5,5.026620822551209e-8,89.97396,0,0,0,...0
59,46,11,5,5.1550408892145035e-8,89.98724,0,0,0,...0
59,46,11,5,5.169127737551673e-8,89.96783,0,0,0,...0
59,46,11,5,5.1801325215517914e-8,89.97311,0,0,0,...0
59,46,11,5,5.183451113200751e-8,89.98512,0,0,0,...0
59,46,11,5,5.194625739880788e-8,89.97396,0,0,0,...0
59,46,11,5,5.197380285980302e-8,89.98724,0,0,0,...0
59,46,11,5,5.210670178722079e-8,89.96965,0,0,0,...0
59,46,11,5,5.2216749627221975e-8,89.97311,0,0,0,...0
59,46,11,5,5.224993554371157e-8,89.98512,0,0,0,...0
59,46,11,5,5.2361681810511934e-8,89.97396,0,0,0,...0
59,46,11,5,5.238922727150707e-8,89.98724,0,0,0,...0
59,46,11,5,5.252212619892485e-8,89.96965,0,0,0,...0
59,46,11,5,5.263244255406524e-8,89.97311,0,0,0,...0
59,46,11,5,5.266562847055483e-8,89.98512,0,0,0,...0
59,46,11,5,5.27773747373552e-8,89.97396,0,0,0,...0
59,46,11,5,5.280492019835034e-8,89.98724,0,0,0,...0
59,46,11,5,5.293781912576812e-8,89.96965,0,0,0,...0
59,46,11,5,5.3033927217877603e-8,89.97311,0,0,0,...0
59,46,11,5,5.30671131343672e-8,89.98512,0,0,0,...0
59,46,11,5,5.317885940116756e-8,89.97396,0,0,0,...0
59,46,11,5,5.3206404862162706e-8,89.98724,0,0,0,...0
59,46,11,5,5.333930378958048e-8,89.96965,0,0,0,...0
59,46,11,5,5.3422866720545535e-8,89.97662,0,0,0,...0
59,46,11,5,5.345605263703513e-8,89.98512,0,0,0,...0
59,46,11,5,5.35677989038355e-8,89.97396,0,0,0,...0
59,46,11,5,5.359534436483064e-8,89.98724,0,0,0,...0
59,46,11,5,5.372824329224842e-8,89.96965,0,0,0,...0
59,46,11,5,5.381180622321346e-8,89.97662,0,0,0,...0
59,46,11,5,5.384550742756643e-8,89.98512,0,0,0,...0
59,46,11,5,5.3957253694366795e-8,89.97396,0,0,0,...0
0,47,11,5,5.442369996150309e-8,89.98724,0,0,0,...0
0,47,11,5,5.4557679368005565e-8,89.96965,0,0,0,...0
0,47,11,5,5.4641921672393096e-8,89.97662,0,0,0,...0
0,47,11,5,5.467239249579151e-8,89.98512,0,0,0,...0
0,47,11,5,5.478504726882603e-8,89.97396,0,0,0,...0
0,47,11,5,5.4812816676658533e-8,89.98724,0,0,0,...0
0,47,11,5,5.494679608316101e-8,89.96965,0,0,0,...0
0,47,11,5,5.5031038387548534e-8,89.97662,0,0,0,...0
0,47,11,5,5.505796656823909e-8,89.98685,0,0,0,...0
0,47,11,5,5.5170621341273604e-8,89.97396,0,0,0,...0
0,47,11,5,5.51983907491061e-8,89.98724,0,0,0,...0
0,47,11,5,5.5332370155608576e-8,89.96965,0,0,0,...0
0,47,11,5,5.5416612459996106e-8,89.97662,0,0,0,...0
0,47,11,5,5.544354064068666e-8,89.98685,0,0,0,...0
0,47,11,5,5.5564002474544995e-8,89.97396,0,0,0,...0
0,47,11,5,5.559177188237749e-8,89.98724,0,0,0,...0
0,47,11,5,5.572575128887997e-8,89.96965,0,0,0,...0
0,47,11,5,5.5809993593267504e-8,89.97662,0,0,0,...0
0,47,11,5,5.583692177395805e-8,89.98685,0,0,0,...0
0,47,11,5,5.589805745906153e-8,89.97396,0,0,0,...0
0,47,11,5,5.5925826866894035e-8,89.98724,0,0,0,...0
0,47,11,5,5.6059806273396505e-8,89.96965,0,0,0,...0
0,47,11,5,5.614404857778404e-8,89.97662,0,0,0,...0
0,47,11,5,5.617097675847459e-8,89.98685,0,0,0,...0
0,47,11,5,5.619999507982758e-8,89.98764,0,0,0,...0
11,47,11,5,6.121797253426494e-8,89.98724,0,0,0,...0
11,47,11,5,6.136383721069909e-8,89.96965,0,0,0,...0
11,47,11,5,6.14555526227339e-8,89.97662,0,0,0,...0
11,47,11,5,6.1484869593647e-8,89.98685,0,0,0,...0
11,47,11,5,6.151646212092647e-8,89.98764,0,0,0,...0
11,47,11,5,6.155526068056476e-8,89.98724,0,0,0,...0
11,47,11,5,6.17011253569989e-8,89.96965,0,0,0,...0
11,47,11,5,6.179284076903371e-8,89.97662,0,0,0,...0
11,47,11,5,6.182215773994682e-8,89.98685,0,0,0,...0
11,47,11,5,6.185375026722628e-8,89.98764,0,0,0,...0
11,47,11,5,6.18968361284343e-8,89.98583,0,0,0,...0
11,47,11,5,6.204270080486845e-8,89.96965,0,0,0,...0
11,47,11,5,6.213441621690325e-8,89.97662,0,0,0,...0
11,47,11,5,6.216373318781636e-8,89.98685,0,0,0,...0
11,47,11,5,6.219532571509582e-8,89.98764,0,0,0,...0
11,47,11,5,6.223841157630384e-8,89.98583,0,0,0,...0
11,47,11,5,6.241127230853304e-8,89.96965,0,0,0,...0
11,47,11,5,6.250298772056785e-8,89.97662,0,0,0,...0
11,47,11,5,6.253230469148096e-8,89.98685,0,0,0,...0
11,47,11,5,6.256389721876042e-8,89.98764,0,0,0,...0
12,47,11,5,6.307073851019043e-8,89.98583,0,0,0,...0
12,47,11,5,6.320093601192432e-8,89.96965,0,0,0,...0
12,47,11,5,6.329333079738163e-8,89.97662,0,0,0,...0
12,47,11,5,6.332286493104222e-8,89.98685,0,0,0,...0
12,47,11,5,6.335469147704228e-8,89.98764,0,0,0,...0
12,47,11,5,6.339809649277776e-8,89.98583,0,0,0,...0
12,47,11,5,6.348024747229611e-8,89.98085,0,0,0,...0
12,47,11,5,6.35726422577534e-8,89.97662,0,0,0,...0
12,47,11,5,6.360217639141401e-8,89.98685,0,0,0,...0
12,47,11,5,6.363400293741406e-8,89.98764,0,0,0,...0
12,47,11,5,6.367740795314954e-8,89.98583,0,0,0,...0
12,47,11,5,6.37595589326679e-8,89.98085,0,0,0,...0
12,47,11,5,6.386349891627465e-8,89.97662,0,0,0,...0
12,47,11,5,6.389303304993525e-8,89.98685,0,0,0,...0
12,47,11,5,6.39248595959353e-8,89.98764,0,0,0,...0
12,47,11,5,6.396826461167079e-8,89.98583,0,0,0,...0
12,47,11,5,6.405041559118914e-8,89.98085,0,0,0,...0
12,47,11,5,6.410123340240253e-8,89.97662,0,0,0,...0
12,47,11,5,6.413076753606314e-8,89.98685,0,0,0,...0
12,47,11,5,6.41625940820632e-8,89.98764,0,0,0,...0
13,47,11,5,6.467810203234132e-8,89.98583,0,0,0,...0
13,47,11,5,6.476085706317965e-8,89.98085,0,0,0,...0
13,47,11,5,6.478308090613689e-8,89.98985,0,0,0,...0
13,47,11,5,6.481283220254499e-8,89.98685,0,0,0,...0
13,47,11,5,6.484489276726563e-8,89.98764,0,0,0,...0
13,47,11,5,6.488861693752859e-8,89.98583,0,0,0,...0
13,47,11,5,6.497137196836693e-8,89.98085,0,0,0,...0
13,47,11,5,6.499359581132415e-8,89.98985,0,0,0,...0
13,47,11,5,6.502724221875167e-8,89.98685,0,0,0,...0
13,47,11,5,6.505930278347231e-8,89.98764,0,0,0,...0
14,47,11,5,6.557823153003989e-8,89.98583,0,0,0,...0
14,47,11,5,6.56615906121982e-8,89.98085,0,0,0,...0
14,47,11,5,6.568397667298724e-8,89.98985,0,0,0,...0
14,47,11,5,6.568433450709206e-8,89.98685,0,0,0,...0
14,47,11,5,6.57166290905333e-8,89.98764,0,0,0,...0
14,47,11,5,6.576067241532371e-8,89.98583,0,0,0,...0
14,47,11,5,6.584403149748205e-8,89.98085,0,0,0,...0
14,47,11,5,6.586641755827107e-8,89.98985,0,0,0,...0
14,47,11,5,6.586642082367737e-8,89.99988,0,0,0,...0
14,47,11,5,6.589871540711862e-8,89.98764,0,0,0,...0
14,47,11,5,6.594275873190903e-8,89.98583,0,0,0,...0
14,47,11,5,6.602611781406735e-8,89.98085,0,0,0,...0
14,47,11,5,6.604850387485639e-8,89.98985,0,0,0,...0
14,47,11,5,6.60485071402627e-8,89.99988,0,0,0,...0
14,47,11,5,6.607718239985337e-8,89.98764,0,0,0,...0
14,47,11,5,6.612122572464379e-8,89.98583,0,0,0,...0
14,47,11,5,6.620458480680211e-8,89.98085,0,0,0,...0
14,47,11,5,6.622697086759115e-8,89.98985,0,0,0,...0
14,47,11,5,6.622697413299746e-8,89.99988,0,0,0,...0
14,47,11,5,6.628528795761267e-8,89.98764,0,0,0,...0
14,47,11,5,6.63293312824031e-8,89.98583,0,0,0,...0
14,47,11,5,6.641269036456142e-8,89.98085,0,0,0,...0
14,47,11,5,6.643507642535044e-8,89.98985,0,0,0,...0
14,47,11,5,6.643507969075675e-8,89.99988,0,0,0,...0
14,47,11,5,6.656864476523001e-8,89.97169,0,0,0,...0
25,47,11,5,7.191927219955248e-8,89.98583,0,0,0,...0
25,47,11,5,7.200927584623069e-8,89.98085,0,0,0,...0
25,47,11,5,7.203344630316957e-8,89.98985,0,0,0,...0
25,47,11,5,7.203344982886188e-8,89.99988,0,0,0,...0
25,47,11,5,7.217766139477864e-8,89.97169,0,0,0,...0
25,47,11,5,7.225364543688634e-8,89.98583,0,0,0,...0
25,47,11,5,7.234364908356452e-8,89.98085,0,0,0,...0
25,47,11,5,7.23678195405034e-8,89.98985,0,0,0,...0
25,47,11,5,7.236782306619573e-8,89.99988,0,0,0,...0
25,47,11,5,7.25120346321125e-8,89.97169,0,0,0,...0
25,47,11,5,7.26510795272912e-8,89.97407,0,0,0,...0
25,47,11,5,7.274108317396938e-8,89.98085,0,0,0,...0
25,47,11,5,7.276525363090826e-8,89.98985,0,0,0,...0
25,47,11,5,7.276525715660059e-8,89.99988,0,0,0,...0
25,47,11,5,7.290946872251736e-8,89.97169,0,0,0,...0
26,47,11,5,7.353877209835172e-8,89.97407,0,0,0,...0
26,47,11,5,7.362726081856245e-8,89.98085,0,0,0,...0
26,47,11,5,7.365159349333315e-8,89.98985,0,0,0,...0
26,47,11,5,7.365159704268781e-8,89.99988,0,0,0,...0
26,47,11,5,7.37967764714631e-8,89.97169,0,0,0,...0
26,47,11,5,7.393675455385776e-8,89.97407,0,0,0,...0
26,47,11,5,7.396506054212456e-8,89.98085,0,0,0,...0
26,47,11,5,7.398939321689524e-8,89.98985,0,0,0,...0
26,47,11,5,7.398939676624993e-8,89.99988,0,0,0,...0
26,47,11,5,7.41345761950252e-8,89.97169,0,0,0,...0
26,47,11,5,7.427455427741987e-8,89.97407,0,0,0,...0
26,47,11,5,7.428382208678712e-8,89.99373,0,0,0,...0
26,47,11,5,7.43081547615578e-8,89.98985,0,0,0,...0
26,47,11,5,7.430815831091248e-8,89.99988,0,0,0,...0
26,47,11,5,7.445333773968776e-8,89.97169,0,0,0,...0
26,47,11,5,7.459331582208242e-8,89.97407,0,0,0,...0
26,47,11,5,7.460258363144967e-8,89.99373,0,0,0,...0
26,47,11,5,7.4624106247135e-8,89.98985,0,0,0,...0
26,47,11,5,7.462410979648969e-8,89.99988,0,0,0,...0
26,47,11,5,7.476928922526496e-8,89.97169,0,0,0,...0
26,47,11,5,7.490926730765961e-8,89.97407,0,0,0,...0
26,47,11,5,7.491853511702687e-8,89.99373,0,0,0,...0
26,47,11,5,7.495341142014199e-8,89.98985,0,0,0,...0
26,47,11,5,7.495341496949667e-8,89.99988,0,0,0,...0
26,47,11,5,7.509859439827194e-8,89.97169,0,0,0,...0
26,47,11,5,7.52385724806666e-8,89.97407,0,0,0,...0
26,47,11,5,7.524784029003386e-8,89.99373,0,0,0,...0
26,47,11,5,7.531178590510332e-8,89.98139,0,0,0,...0
26,47,11,5,7.5311789454458e-8,89.99988,0,0,0,...0
26,47,11,5,7.545696888323327e-8,89.97169,0,0,0,...0
26,47,11,5,7.559694696562794e-8,89.97407,0,0,0,...0
26,47,11,5,7.560621477499518e-8,89.99373,0,0,0,...0
26,47,11,5,7.567016039006464e-8,89.98139,0,0,0,...0
26,47,11,5,7.567016345363458e-8,89.99988,0,0,0,...0
26,47,11,5,7.581534288240985e-8,89.97169,0,0,0,...0
26,47,11,5,7.595532096480452e-8,89.97407,0,0,0,...0
26,47,11,5,7.596458877417178e-8,89.99373,0,0,0,...0
26,47,11,5,7.602853438924123e-8,89.98139,0,0,0,...0
26,47,11,5,7.602901050083377e-8,89.99988,0,0,0,...0
26,47,11,5,7.617418992960904e-8,89.97169,0,0,0,...0
26,47,11,5,7.63141680120037e-8,89.97407,0,0,0,...0
26,47,11,5,7.632343582137095e-8,89.99373,0,0,0,...0
26,47,11,5,7.638738143644041e-8,89.98139,0,0,0,...0
26,47,11,5,7.647502564326725e-8,89.97791,0,0,0,...0
26,47,11,5,7.662020507204252e-8,89.97169,0,0,0,...0
27,47,11,5,7.72719177088001e-8,89.97407,0,0,0,...0
27,47,11,5,7.728124730356313e-8,89.99373,0,0,0,...0
27,47,11,5,7.734561922273305e-8,89.98139,0,0,0,...0
27,47,11,5,7.743384772427206e-8,89.97791,0,0,0,...0
27,47,11,5,7.759387331957309e-8,89.97169,0,0,0,...0
27,47,11,5,7.773478458918372e-8,89.97407,0,0,0,...0
27,47,11,5,7.774411418394676e-8,89.99373,0,0,0,...0
27,47,11,5,7.780848610311667e-8,89.98139,0,0,0,...0
27,47,11,5,7.789671460465568e-8,89.97791,0,0,0,...0
27,47,11,5,7.809692164240573e-8,89.97169,0,0,0,...0
27,47,11,5,7.823783291201635e-8,89.97407,0,0,0,...0
27,47,11,5,7.824716250677938e-8,89.99373,0,0,0,...0
27,47,11,5,7.831153442594931e-8,89.98139,0,0,0,...0
27,47,11,5,7.839976292748832e-8,89.97791,0,0,0,...0
27,47,11,5,7.862846993986873e-8,89.96766,0,0,0,...0
38,47,11,5,8.449958987052144e-8,89.97407,0,0,0,...0
38,47,11,5,8.450959910463809e-8,89.99373,0,0,0,...0
38,47,11,5,8.45786603689131e-8,89.98139,0,0,0,...0
38,47,11,5,8.467331611228606e-8,89.97791,0,0,0,...0
38,47,11,5,8.491868390040281e-8,89.96766,0,0,0,...0
38,47,11,5,8.498027890268422e-8,89.97407,0,0,0,...0
38,47,11,5,8.499028813680086e-8,89.99373,0,0,0,...0
38,47,11,5,8.505934940107586e-8,89.98139,0,0,0,...0
38,47,11,5,8.515400514444884e-8,89.97791,0,0,0,...0
